2018-05-22 15:52:20:581 INFO  CryptoTest:15 - ETHBTC
2018-05-22 15:52:20:584 INFO  CryptoTest:15 - ETHBT
2018-05-22 15:52:22:170 INFO  CryptoTest:22 - 198175.0
2018-05-22 15:52:23:086 INFO  CryptoTest:22 - 0.084
2018-05-22 15:52:23:464 INFO  CryptoTest:22 - 0.080794
2018-05-22 15:52:25:141 INFO  CryptoTest:22 - 0.083043
2018-05-22 15:52:25:534 INFO  CryptoTest:22 - -2.676
2018-05-22 15:52:25:909 ERROR JsonReader:48 - java.io.IOException: Server returned HTTP response code: 400 for URL: https://api.binance.com/api/v1/ticker/24hr?symbol=ETHBT
2018-05-22 15:52:26:249 ERROR JsonReader:48 - java.io.IOException: Server returned HTTP response code: 400 for URL: https://api.binance.com/api/v1/ticker/24hr?symbol=ETHBT
2018-05-22 15:52:26:250 INFO  CryptoTest:22 - 0.0
2018-05-22 15:52:26:627 ERROR JsonReader:48 - java.io.IOException: Server returned HTTP response code: 400 for URL: https://api.binance.com/api/v1/ticker/24hr?symbol=ETHBT
2018-05-22 15:52:27:142 ERROR JsonReader:48 - java.io.IOException: Server returned HTTP response code: 400 for URL: https://api.binance.com/api/v1/ticker/24hr?symbol=ETHBT
2018-05-22 15:52:27:142 INFO  CryptoTest:22 - 0.0
2018-05-22 15:52:27:823 ERROR JsonReader:48 - java.io.IOException: Server returned HTTP response code: 400 for URL: https://api.binance.com/api/v1/ticker/24hr?symbol=ETHBT
2018-05-22 15:52:28:188 ERROR JsonReader:48 - java.io.IOException: Server returned HTTP response code: 400 for URL: https://api.binance.com/api/v1/ticker/24hr?symbol=ETHBT
2018-05-22 15:52:28:188 INFO  CryptoTest:22 - 0.0
2018-05-22 15:52:28:531 ERROR JsonReader:48 - java.io.IOException: Server returned HTTP response code: 400 for URL: https://api.binance.com/api/v1/ticker/24hr?symbol=ETHBT
2018-05-22 15:52:29:121 ERROR JsonReader:48 - java.io.IOException: Server returned HTTP response code: 400 for URL: https://api.binance.com/api/v1/ticker/24hr?symbol=ETHBT
2018-05-22 15:52:29:122 INFO  CryptoTest:22 - 0.0
2018-05-22 15:52:29:459 ERROR JsonReader:48 - java.io.IOException: Server returned HTTP response code: 400 for URL: https://api.binance.com/api/v1/ticker/24hr?symbol=ETHBT
2018-05-22 15:52:29:806 ERROR JsonReader:48 - java.io.IOException: Server returned HTTP response code: 400 for URL: https://api.binance.com/api/v1/ticker/24hr?symbol=ETHBT
2018-05-22 15:52:29:807 INFO  CryptoTest:22 - 0.0
2018-05-22 15:52:30:631 ERROR JsonReader:48 - java.io.IOException: Server returned HTTP response code: 400 for URL: https://api.binance.com/api/v1/ticker/24hr?symbol=ETHBT
2018-05-22 15:54:27:027 INFO  JsonReaderTest:19 - https://api.binance.com/api/v1/ticker/24hr?symbol=ETHBT
2018-05-22 15:55:07:144 INFO  JsonReaderTest:19 - https://api.binance.com/api/v1/ticker/24hr?symbol=ETHBTC
2018-05-22 15:55:07:146 INFO  JsonReaderTest:20 - https://api.binance.com/api/v1/ticker/24hr?symbol=ETHBT
2018-05-22 15:55:07:982 INFO  JsonReaderTest:30 - {"priceChange":"-0.00218100","symbol":"ETHBTC","askPrice":"0.08095000","bidQty":"2.06000000","count":198495,"openPrice":"0.08313400","lastId":64174498,"quoteVolume":"8712.01759181","bidPrice":"0.08082500","firstId":63976004,"volume":"105197.28100000","lastQty":"0.71400000","askQty":"0.05000000","weightedAvgPrice":"0.08281600","lowPrice":"0.08079100","highPrice":"0.08400000","closeTime":1527022507877,"prevClosePrice":"0.08313400","openTime":1526936107877,"priceChangePercent":"-2.623","lastPrice":"0.08095300"}
2018-05-22 15:55:08:188 ERROR JsonReaderTest:32 - java.io.IOException: Server returned HTTP response code: 400 for URL: https://api.binance.com/api/v1/ticker/24hr?symbol=ETHBT
2018-05-25 10:19:51:939 INFO  Algoritmo:98 - Price: 7.360257535680703 MN: 53450.0 CR: 5.0
2018-05-25 10:19:51:955 INFO  Algoritmo:98 - Price: 648.3010226050114 MN: 53450.0 CR: 5.0
2018-05-25 10:19:51:956 INFO  Algoritmo:98 - Price: 744.0390037230474 MN: 53936.22576695376 CR: 4.25
2018-05-25 10:19:51:956 INFO  Algoritmo:98 - Price: 679.6943414020698 MN: 53936.22576695376 CR: 4.25
2018-05-25 10:19:51:956 INFO  Algoritmo:98 - Price: 1261.1034437281367 MN: 53936.22576695376 CR: 4.25
2018-05-25 10:19:51:957 INFO  Algoritmo:98 - Price: 2031.2883204152167 MN: 53936.22576695376 CR: 4.25
2018-05-25 10:19:51:958 INFO  Algoritmo:98 - Price: 1235.2334009257788 MN: 53936.22576695376 CR: 4.25
2018-05-25 10:19:51:959 INFO  Algoritmo:98 - Price: 2384.2511701367794 MN: 53936.22576695376 CR: 4.25
2018-05-25 10:19:51:959 INFO  Algoritmo:98 - Price: 1013.2552509205881 MN: 53936.22576695376 CR: 4.25
2018-05-25 10:19:51:959 INFO  Algoritmo:98 - Price: 238.70215493608126 MN: 53936.22576695376 CR: 4.25
2018-05-25 10:19:51:959 INFO  Algoritmo:98 - Price: 568.9410032213432 MN: 53816.87468948572 CR: 4.75
2018-05-25 10:19:51:960 INFO  Algoritmo:98 - Price: 1361.354251109156 MN: 54222.24515428092 CR: 4.0375
2018-05-25 10:19:51:960 INFO  Algoritmo:98 - Price: 571.1648855785953 MN: 55046.71532260891 CR: 3.431875
2018-05-25 10:19:51:960 INFO  Algoritmo:98 - Price: 983.6477695279194 MN: 55046.71532260891 CR: 3.431875
2018-05-25 10:19:51:960 INFO  Algoritmo:98 - Price: 1870.9045333350098 MN: 55046.71532260891 CR: 3.431875
2018-05-25 10:19:51:961 INFO  Algoritmo:98 - Price: 2456.1196648984474 MN: 55046.71532260891 CR: 3.431875
2018-05-25 10:19:51:963 INFO  Algoritmo:98 - Price: 463.33381901813686 MN: 55046.71532260891 CR: 3.431875
2018-05-25 10:19:51:963 INFO  Algoritmo:98 - Price: 1005.6623557876135 MN: 54815.04841309984 CR: 3.931875
2018-05-25 10:19:51:963 INFO  Algoritmo:98 - Price: 12.390471823914007 MN: 55408.169214374204 CR: 3.34209375
2018-05-25 10:19:51:964 INFO  Algoritmo:98 - Price: 1723.6773332302857 MN: 55401.97397846224 CR: 3.84209375
2018-05-25 10:19:51:964 INFO  Algoritmo:98 - Price: 1817.7240297039357 MN: 56395.35346481536 CR: 3.2657796875000003
2018-05-25 10:19:51:966 INFO  Algoritmo:98 - Price: 480.3203501912143 MN: 56395.35346481536 CR: 3.2657796875000003
2018-05-25 10:19:51:966 INFO  Algoritmo:98 - Price: 1175.8969919428696 MN: 56155.19328971975 CR: 3.7657796875000003
2018-05-25 10:19:51:966 INFO  Algoritmo:98 - Price: 760.0490023126164 MN: 56819.41864074737 CR: 3.200912734375
2018-05-25 10:19:51:966 INFO  Algoritmo:98 - Price: 1121.2633677569795 MN: 56819.41864074737 CR: 3.200912734375
2018-05-25 10:19:51:967 INFO  Algoritmo:98 - Price: 1320.0490337841043 MN: 56819.41864074737 CR: 3.200912734375
2018-05-25 10:19:51:967 INFO  Algoritmo:98 - Price: 2498.264564841212 MN: 56819.41864074737 CR: 3.200912734375
2018-05-25 10:19:51:967 INFO  Algoritmo:98 - Price: 2310.933706840809 MN: 56819.41864074737 CR: 3.200912734375
2018-05-25 10:19:51:967 INFO  Algoritmo:98 - Price: 601.2253728873828 MN: 56819.41864074737 CR: 3.200912734375
2018-05-25 10:19:51:968 INFO  Algoritmo:98 - Price: 270.04049631354195 MN: 56518.80595430368 CR: 3.700912734375
2018-05-25 10:19:51:968 INFO  Algoritmo:98 - Price: 644.4151730426231 MN: 56518.80595430368 CR: 3.700912734375
2018-05-25 10:19:51:968 INFO  Algoritmo:98 - Price: 1004.9116150349438 MN: 56876.544602324364 CR: 3.14577582421875
2018-05-25 10:19:51:968 INFO  Algoritmo:98 - Price: 182.53912769133797 MN: 56876.544602324364 CR: 3.14577582421875
2018-05-25 10:19:51:968 INFO  Algoritmo:98 - Price: 1857.92938867019 MN: 56785.27503847869 CR: 3.64577582421875
2018-05-25 10:19:51:969 INFO  Algoritmo:98 - Price: 667.3866794378641 MN: 57801.31414572659 CR: 3.0989094505859374
2018-05-25 10:19:51:969 INFO  Algoritmo:98 - Price: 2063.9262335173357 MN: 57467.62080600765 CR: 3.5989094505859374
2018-05-25 10:19:51:969 INFO  Algoritmo:98 - Price: 1391.5891210078034 MN: 58581.80335007532 CR: 3.0590730329980467
2018-05-25 10:19:51:969 INFO  Algoritmo:98 - Price: 1238.816854187768 MN: 58581.80335007532 CR: 3.0590730329980467
2018-05-25 10:19:51:969 INFO  Algoritmo:98 - Price: 965.8960042352194 MN: 58581.80335007532 CR: 3.0590730329980467
2018-05-25 10:19:51:970 INFO  Algoritmo:98 - Price: 2428.377107266437 MN: 58581.80335007532 CR: 3.0590730329980467
2018-05-25 10:19:51:970 INFO  Algoritmo:98 - Price: 1196.693283888915 MN: 59696.09078849361 CR: 2.6002120780483398
2018-05-25 10:19:51:970 INFO  Algoritmo:98 - Price: 788.2559867116756 MN: 59696.09078849361 CR: 2.6002120780483398
2018-05-25 10:19:51:970 INFO  Algoritmo:98 - Price: 1559.3566125787584 MN: 59696.09078849361 CR: 2.6002120780483398
2018-05-25 10:19:51:971 INFO  Algoritmo:98 - Price: 396.7523586982549 MN: 59696.09078849361 CR: 2.6002120780483398
2018-05-25 10:19:51:971 INFO  Algoritmo:98 - Price: 2098.2019886539424 MN: 59497.71460914448 CR: 3.1002120780483398
2018-05-25 10:19:51:971 INFO  Algoritmo:98 - Price: 1934.9744152398857 MN: 60473.44528125598 CR: 2.635180266341089
2018-05-25 10:19:51:971 INFO  Algoritmo:98 - Price: 1262.090734479654 MN: 60473.44528125598 CR: 2.635180266341089
2018-05-25 10:19:51:971 INFO  Algoritmo:98 - Price: 1620.4544592676446 MN: 60473.44528125598 CR: 2.635180266341089
2018-05-25 10:19:51:972 INFO  Algoritmo:98 - Price: 1307.039559790036 MN: 60473.44528125598 CR: 2.635180266341089
2018-05-25 10:19:51:972 INFO  Algoritmo:98 - Price: 192.39430454587563 MN: 60473.44528125598 CR: 2.635180266341089
2018-05-25 10:19:51:972 INFO  Algoritmo:98 - Price: 2153.419829958437 MN: 60377.24812898305 CR: 3.135180266341089
2018-05-25 10:19:51:973 INFO  Algoritmo:98 - Price: 1113.3181524312665 MN: 61389.952032388035 CR: 2.6649032263899253
2018-05-25 10:19:51:973 INFO  Algoritmo:98 - Price: 1579.5132184216795 MN: 61389.952032388035 CR: 2.6649032263899253
2018-05-25 10:19:51:973 INFO  Algoritmo:98 - Price: 1643.421386435085 MN: 61389.952032388035 CR: 2.6649032263899253
2018-05-25 10:19:51:973 INFO  Algoritmo:98 - Price: 2008.3818173785305 MN: 61389.952032388035 CR: 2.6649032263899253
2018-05-25 10:19:51:974 INFO  Algoritmo:98 - Price: 332.2942714812657 MN: 61389.952032388035 CR: 2.6649032263899253
2018-05-25 10:19:51:974 INFO  Algoritmo:98 - Price: 1708.3440833282798 MN: 61223.8048966474 CR: 3.1649032263899253
2018-05-25 10:19:51:975 INFO  Algoritmo:98 - Price: 756.5078287918145 MN: 62034.81645181387 CR: 2.6901677424314365
2018-05-25 10:19:51:975 INFO  Algoritmo:98 - Price: 2075.0163133165493 MN: 62034.81645181387 CR: 2.6901677424314365
2018-05-25 10:19:51:975 INFO  Algoritmo:98 - Price: 360.86979455743653 MN: 62872.13774447935 CR: 2.286642581066721
2018-05-25 10:19:51:975 INFO  Algoritmo:98 - Price: 805.1277518018082 MN: 62691.70284720063 CR: 2.786642581066721
